[1/28/2025 1:20:34 PM] [INFO] received Windows console close event; shutting log-core down
[1/28/2025 2:19:19 PM] [INFO] received Windows console close event; shutting log-core down
[1/28/2025 2:27:31 PM] [INFO] received Windows console close event; shutting log-core down
[1/28/2025 2:28:51 PM] [INFO] received Windows console close event; shutting log-core down
[1/28/2025 2:42:32 PM] [INFO] received Windows console close event; shutting log-core down
[1/28/2025 2:51:48 PM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 9:57:00 AM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 10:00:40 AM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 10:07:34 AM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 10:14:47 AM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 10:17:18 AM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 10:28:15 AM] [INFO] received Windows console close event; shutting log-core down
[1/29/2025 10:39:07 AM] [INFO] received Windows console close event; shutting log-core down
[2/2/2025 10:23:59 PM] [INFO] received Windows console close event; shutting log-core down
[2/16/2025 1:45:53 PM] [INFO] received Windows console close event; shutting log-core down
[2/16/2025 1:51:28 PM] [INFO] received Windows console close event; shutting log-core down
[2/16/2025 2:06:46 PM] [INFO] received Windows console close event; shutting log-core down
[2/16/2025 2:52:40 PM] [INFO] received Windows console close event; shutting log-core down
[2/16/2025 3:15:28 PM] [INFO] received Windows console close event; shutting log-core down
[2/16/2025 3:19:29 PM] [INFO] received Windows console close event; shutting log-core down
